DDBJ/ENA/GenBank Accession	Environment	Genome Size	Genome_Quality	Completeness	GC	SRA	Study Title	Study Attribute
DBEH00000000	Built Environment	1523585	Medium	81.21	62.81647248	SRX748868	Serpentinizing microbial ecosystems Metagenome	label: POR_AC3_2013 || collection_date: 2012-11-01 || depth: missing || env_biome: village biome || env_feature: alkaline habitat || env_material: travertine || geo_loc_name: Portugal:Cabeco de Vide || lat_lon: 39.23 N 7.97 W || ph: 11.4 || redox_potentia
DBCZ00000000	Gut	1672921	Near complete	91.93	49.95574194	SRX255561	Macrotermes natalensis gut Metagenome	investigation type: metagenome || host: Macrotermes natalensis || cast: worker || tissue: gut || BioSampleModel: Generic
DBBD00000000	Biofilm	1922628	Medium	81.81	49.74031729	SRX748870	Serpentinizing microbial ecosystems Metagenome	label: Prony28 || collection_date: 2005-06-14 || depth: 43 || env_biome: marine ultramafic hydrothermal vent biome || env_feature: marine hydrothermal vent chimney || env_material: biofilm material || geo_loc_name: New Caledonia:Bay of Prony || lat_lon: 2
DBBC00000000	Biofilm	1446131	Medium	80.37	54.59235239	SRX748870	Serpentinizing microbial ecosystems Metagenome	label: Prony28 || collection_date: 2005-06-14 || depth: 43 || env_biome: marine ultramafic hydrothermal vent biome || env_feature: marine hydrothermal vent chimney || env_material: biofilm material || geo_loc_name: New Caledonia:Bay of Prony || lat_lon: 2
DBBB00000000	Biofilm	1654358	Medium	86.14	65.58326134	SRX748870	Serpentinizing microbial ecosystems Metagenome	label: Prony28 || collection_date: 2005-06-14 || depth: 43 || env_biome: marine ultramafic hydrothermal vent biome || env_feature: marine hydrothermal vent chimney || env_material: biofilm material || geo_loc_name: New Caledonia:Bay of Prony || lat_lon: 2
DCEL00000000	Terrestial	1606025	Medium	82.49	51.57434175	SRX691269	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-1-350-B || BioSampleModel: MIMS.
DCDY00000000	Terrestial	2519087	Near complete	90.96	50.54501649	SRX691269	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-1-350-B || BioSampleModel: MIMS.
DCDU00000000	Terrestial	1937997	Partial	54.47	35.81566795	SRX691269	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-1-350-B || BioSampleModel: MIMS.
DCDT00000000	Terrestial	1588112	Partial	68.02	45.11709545	SRX691269	Pit mud of Chinese liqour fermentation reactorMetagenome	collection_date: 2013-04-21 || depth: 0.01m || elev: 250m || env_biome: anthropogenic terrestrial biome || env_feature: soil || env_material: mud || geo_loc_name: China: Luzhou || lat_lon: 28.88 N 105.45 E || label: Meta-3-1-350-B || BioSampleModel: MIMS.
DCDC00000000	Bioreactor	2075962	Near complete	94.15	39.41460975	SRX371701	Diverse Environmental Samples Metagenome	investigation_type: metagenome || material: Anaerobic Digestion Sludge || BioSampleModel: Generic
DCCP00000000	Gut	1117279	Medium	88.2	28.04868199	SRX834663	Baboon feces Metagenome	collection_date: 30-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 10.38 || host_body_product
DCCK00000000	Gut	1512196	Near complete	94.94	44.2862019	SRX834663	Baboon feces Metagenome	collection_date: 30-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 10.38 || host_body_product
DCBN00000000	Gut	1478994	Medium	84.27	40.26524427	SRX834660	Baboon feces Metagenome	collection_date: 10-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 6.78 || host_body_product:
DCBJ00000000	Gut	880970	Partial	57.39	28.02653059	SRX834660	Baboon feces Metagenome	collection_date: 10-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 6.78 || host_body_product:
DBYH00000000	Gut	1447595	Medium	86.02	52.32400312	SRX035182	Metagenome isolated from cow gut	None
DBYF00000000	Gut	2289432	Medium	81.08	49.92485448	SRX035182	Metagenome isolated from cow gut	None
DBTK00000000	Sediment	4536144	Medium	81.24	61.46397445	SRX118448	Wetland Surface Sediment Feb2011 Site L1 Cattail Project	Sample Number: 4094843
DBSN00000000	Bioreactor	4138674	Medium	93.06	36.10820365	SRX144201	Bioreactor inoculated with sediment Metagenome	None
DBRT00000000	Bioreactor	1069851	Near complete	95.51	35.75788855	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DBQR00000000	Bioreactor	1833410	Near complete	92.71	47.25400795	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DBQN00000000	Bioreactor	2262903	Medium	86.17	61.15136358	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DBPK00000000	Bioreactor	1455888	Medium	83.6	42.51290321	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DCUB00000000	Bioreactor	2288288	Medium	86.54	50.37530138	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DCUA00000000	Bioreactor	2330346	Medium	81.97	46.45742591	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DCTY00000000	Bioreactor	2577954	Near complete	90.66	56.10944496	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DCTM00000000	Bioreactor	1522432	Near complete	95.27	47.45697036	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DCTI00000000	Bioreactor	2898460	Medium	78.97	56.17447863	ERX250271	Metagenomic study of the microbial genes abundance in treated palm oil mill effluent	Failed to decode
DCPV00000000	Built Environment	3138133	Near complete	91.84	31.54148814	SRX822551	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 25-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.73 N 73.98 W || isolate: P00584 || BioSampleModel: Metagenome or environmental
DCNL00000000	Bioreactor	3577084	Medium	87.13	43.644809	SRX206471	SBR Enriched Microbial Communities from a Danish Wastwater Treatment Plant Metagenome	env_package: MIGS/MIMS/MIMARKS.wastewater || investigation_type: metagenome || biome: Wastewater || collection_date: 2011-11-28 || feature: Wastewater || geo_loc_name: Denmark: Ejby Moelle, Odense || lat_lon: 55.398487 10.420596 || material: Wastewater ||
DCMK00000000	Gut	1467045	Near complete	94.41	53.73745294	SRX834652	Baboon feces Metagenome	collection_date: 24-Jul-2012 || env_biome: mammalia-associated habitat || env_feature: mammalia-associated habitat || env_material: feces || geo_loc_name: Kenya || host: Papio cynocephalus || lat_lon: 2.717 S 37.1 E || host_age: 13.93 || host_body_product
DCJX00000000	Gut	5003058	Near complete	97.13	48.60807604	SRX498680	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: May-2012 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCJP00000000	Gut	3120072	Near complete	96.23	58.51829383	SRX498680	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: May-2012 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCJM00000000	Gut	2068134	Near complete	95.19	56.77486239	SRX498680	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: May-2012 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCJK00000000	Gut	2231297	Near complete	99.29	43.57319643	SRX498680	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: May-2012 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCJJ00000000	Gut	2069393	Near complete	96.78	52.252511	SRX498680	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: May-2012 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCJF00000000	Gut	2024887	Partial	63.18	63.99808053	SRX498680	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: May-2012 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCJD00000000	Gut	836904	Medium	89.89	28.34130963	SRX498681	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: Jun-2009 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCHZ00000000	Gut	1633413	Near complete	90.78	41.87477983	SRX498681	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: Jun-2009 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCHA00000000	Gut	1481509	Medium	80	42.84616491	SRX498681	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: Jun-2009 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCGW00000000	Gut	1526116	Medium	87.61	42.73939963	SRX498681	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: Jun-2009 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCGS00000000	Gut	1481356	Medium	82.16	38.99220836	SRX498681	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: Jun-2009 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCGJ00000000	Gut	2215774	Medium	80.42	46.4194777	SRX498681	Elephant feces Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: Zoo || collection_date: Jun-2009 || feature: Zoo || geo_loc_name: Zoo of Hamburg || lat_lon: 53.596582, 9.938249 || material: feces || host: Elephas maximus indicus
DCFY00000000	Sediment	1287857	Partial	58.05	41.58465501	SRX118501	Wetland Surface Sediment Feb2011 Site B1 Cattail Project	Sample Number: 4094841
DCFU00000000	Sediment	3508512	Near complete	97.78	44.74785067	SRX118501	Wetland Surface Sediment Feb2011 Site B1 Cattail Project	Sample Number: 4094841
DCFR00000000	Sediment	2479342	Near complete	99.16	49.6095322	SRX118501	Wetland Surface Sediment Feb2011 Site B1 Cattail Project	Sample Number: 4094841
DCFC00000000	Gut	2373008	Near complete	98.42	43.21129773	SRX252167	Chicken cecal contents Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: terrestrial biome || isolation source: ceca of Broiler chicken || collection_date: 07-Sep-2010 || feature: Commercial Farm || geo_loc_name: United Kingdom: England 
DCEU00000000	Gut	1038107	Partial	53.11	59.33393856	SRX252167	Chicken cecal contents Metagenome	env_package: MIGS/MIMS/MIMARKS.host-associated || investigation_type: metagenome || biome: terrestrial biome || isolation source: ceca of Broiler chicken || collection_date: 07-Sep-2010 || feature: Commercial Farm || geo_loc_name: United Kingdom: England 
DDHO00000000	Oil	1596006	Medium	85.94	42.21919724	SRX595695	Crude oil Metagenome	None
DDHB00000000	Built Environment	4195519	Near complete	95.68	44.32349706	SRX822413	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 18-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.71 N 73.79 W || isolate: P00444 || BioSampleModel: Metagenome or environmental
DDCL00000000	Sediment	4072439	Near complete	98.71	61.6558894	SRX1044556	Mid Cayman Rise Metagenome	None
DDAM00000000	Built Environment	3289114	Medium	86.31	29.7059498	SRX822397	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 18-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.89 W || isolate: P00428 || BioSampleModel: Metagenome or environmental
DCZH00000000	Bioreactor	1606749	Near complete	91.2	41.59554442	SRX516606	Abundance of antibiotic resistance genes and structure of the microbial community in sewage influenced by a nursing home	biome: Wastewater || collection_date: 09.11.2012 || feature: Combined sewer || geo_loc_name: South-West Germany || lat_lon: 48_8 || material: water || wastewater_type: Sewage || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MIMS/MIMARKS.wastewater
DCYG00000000	Built Environment	3593002	Near complete	98.02	35.07371374	SRX822889	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 31-Jul-2013 || env_biome: city || env_feature: subway || env_material: plastic || geo_loc_name: USA:New York City || lat_lon: 40.74 N 73.95 W || isolate: P00926 || BioSampleModel: Metagenome or environmental
DCUX00000000	Bioreactor	2214966	Near complete	90.03	43.08751963	SRX327722	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.microbial || investigation_type: metagenome || biome: Tailling pond || collection_date: 2012-07-01 || feature: Suncor Tailings Pond 6 || geo_loc_name: Suncor tailings pond 6 || lat_lon: 57.02, -111.55 || material: waste wate
DCUR00000000	Bioreactor	1587217	Medium	77.48	42.06173031	SRX327722	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.microbial || investigation_type: metagenome || biome: Tailling pond || collection_date: 2012-07-01 || feature: Suncor Tailings Pond 6 || geo_loc_name: Suncor tailings pond 6 || lat_lon: 57.02, -111.55 || material: waste wate
DCUO00000000	Bioreactor	1827033	Near complete	93.61	40.79726859	SRX327722	Hydrocarbon Metagenome	env_package: MIGS/MIMS/MIMARKS.microbial || investigation_type: metagenome || biome: Tailling pond || collection_date: 2012-07-01 || feature: Suncor Tailings Pond 6 || geo_loc_name: Suncor tailings pond 6 || lat_lon: 57.02, -111.55 || material: waste wate
DDXL00000000	Bioreactor	1800396	Near complete	97.13	42.58315633	SRX559894	Hydrocarbon Metagenome	collection_date: 2013-08-20 || env_biome: Tailing Pond || env_feature: enrichment culture || env_material: waste water || geo_loc_name: Canada:Athabasca Oil Sands || lat_lon: 57.02 N, 111.65 W || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MIMS/MIMARK
DDXD00000000	Bioreactor	1835529	Medium	83.94	46.34433814	SRX559894	Hydrocarbon Metagenome	collection_date: 2013-08-20 || env_biome: Tailing Pond || env_feature: enrichment culture || env_material: waste water || geo_loc_name: Canada:Athabasca Oil Sands || lat_lon: 57.02 N, 111.65 W || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MIMS/MIMARK
DDWI00000000	Biofilm	2973050	Medium	85.58	41.33869789	SRX559898	Hydrocarbon Metagenome	collection_date: 2010-08-13 || env_biome: biofilm || env_feature: pipeline || env_material: biofilm || geo_loc_name: Northern Alberta || lat_lon: 55.4 N, 110.32 W || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MIMS/MIMARKS.wastewater
DDWC00000000	Biofilm	2447324	Near complete	90.56	54.65508664	SRX559898	Hydrocarbon Metagenome	collection_date: 2010-08-13 || env_biome: biofilm || env_feature: pipeline || env_material: biofilm || geo_loc_name: Northern Alberta || lat_lon: 55.4 N, 110.32 W || BioSampleModel: MIMS.me || BioSampleModel: MIGS/MIMS/MIMARKS.wastewater
DDNC00000000	Built Environment	3255849	Near complete	97.67	38.33339632	SRX822576	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 25-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.79 N 73.94 W || isolate: P00609 || BioSampleModel: Metagenome or environmental
DDMB00000000	Bioreactor	1917732	Near complete	90.52	49.59344817	ERX923322	Deeply sequenced metagenome and metatranscriptome of a biogas-producing microbial community from an agricultural production-scale biogas plant	None
DDLY00000000	Bioreactor	1714253	Medium	82.38	49.7235102	ERX923321	Deeply sequenced metagenome and metatranscriptome of a biogas-producing microbial community from an agricultural production-scale biogas plant	None
DDLB00000000	Built Environment	4367805	Medium	80.65	44.07898593	SRX822369	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 17-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.70 N 73.95 W || isolate: P00398 || BioSampleModel: Metagenome or environmental
DDKP00000000	Terrestial	1742630	Medium	73.15	48.58458758	SRX745164	Fracture water Metagenome	collection_date: 2011-08-24 || depth: missing || env_biome: Terrestrial subsurface || env_feature: Fracture water || env_material: water || geo_loc_name: South Africa:Carltonville || lat_lon: 26.416806 S 27.427222 E || calcium: 2.69E-04 M || chloride: 2.7
DDKM00000000	Terrestial	2440742	Medium	78.75	55.77871729	SRX745164	Fracture water Metagenome	collection_date: 2011-08-24 || depth: missing || env_biome: Terrestrial subsurface || env_feature: Fracture water || env_material: water || geo_loc_name: South Africa:Carltonville || lat_lon: 26.416806 S 27.427222 E || calcium: 2.69E-04 M || chloride: 2.7
DEOE00000000	Built Environment	1670262	Medium	82.85	30.43374495	SRX823364	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 09-Aug-2013 || env_biome: city || env_feature: subway || env_material: metal || geo_loc_name: USA:New York City || lat_lon: 40.57 N 73.96 W || isolate: P01474 || BioSampleModel: Metagenome or environmental
DENZ00000000	Built Environment	3574095	Near complete	94.17	35.17479688	SRX823365	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 09-Aug-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.58 N 73.98 W || isolate: P01480 || BioSampleModel: Metagenome or environmental
DEKB00000000	Gut	2284641	Near complete	97.6	55.85994557	SRX331739	Ovis aries rumen metagenome	lat_lon: 41.314168, -105.584589 || biome: Rumen || collection_date: 2012 || breed: Rambouillet, Hampshire, and Suffolk || feature: Rumen || investigation_type: metagenome || project_name: Analysis of diet and RFI effect on the sheep ruminal metagenome || 
DEDZ00000000	Gut	2227501	Medium	87.71	52.8415925	ERX1064485	The rumen microbial metagenome associated with high methane production in cattle	None
DEDH00000000	Gut	2037703	Near complete	93.37	50.89209021	ERX1064485	The rumen microbial metagenome associated with high methane production in cattle	None
DFDD00000000	Built Environment	3624016	Near complete	94.17	35.37457099	SRX822217	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 16-Jul-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.80 N 73.96 W || isolate: P00238 || BioSampleModel: Metagenome or environmental
DFAQ00000000	Sediment	1624335	Medium	87.73	49.49908199	SRX993394	Hakon Mosby Mud Volcano Targeted Locus (Loci)	porosity, %: 61 || sulfate: unknown || pressure, decibar: 1250 || DNA extraction method: MoBio Soil DNA || lat_lon: 72.005 N, 14.726 E || env_feature: mud volcano || collection_date: 7/2/2003 || env_biome: marine || sulfide, mmol/L: unknown || ph: 8.2 || 
DFAP00000000	Sediment	2391592	Medium	78.95	47.53263936	SRX993394	Hakon Mosby Mud Volcano Targeted Locus (Loci)	porosity, %: 61 || sulfate: unknown || pressure, decibar: 1250 || DNA extraction method: MoBio Soil DNA || lat_lon: 72.005 N, 14.726 E || env_feature: mud volcano || collection_date: 7/2/2003 || env_biome: marine || sulfide, mmol/L: unknown || ph: 8.2 || 
DEWH00000000	Gut	2457489	Medium	78.64	49.53165743	SRX290720	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DEWF00000000	Gut	1420066	Near complete	94.35	49.18983863	SRX290720	Sheep rumen microbiome	host: Ovis aries || biome: sheep rumen || phenotype: high methane producing || geographic location: New Zealand || isolation source: sheep rumen || collected by: AgResearch Grasslands || BioSampleModel: Generic
DEVR00000000	Built Environment	3632025	Medium	96.79	29.97103229	SRX823000	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 02-Aug-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.67 N 73.88 W || isolate: P01038 || BioSampleModel: Metagenome or environmental
DESE00000000	Gut	1893339	Medium	87.85	49.58208738	SRX803753	Microbiome Metagenome	breed: rat || age: not collected || dev_stage: not applicable || sex: male || tissue: Rat Stool Microbiome || sample_type: MMS003 || treatment: 8-24hr post tacrine dosing || BioSampleModel: Model organism or animal
DEQG00000000	Gut	2057225	Medium	87.29	43.49806269	ERX222794	Gene-targeted metagenomic analysis of 1-4-a-glucan branching enzyme gene profiles among human and animal fecal microbiota	ENA-CHECKLIST: ERC000011
DFPH00000000	Built Environment	3703527	Medium	80.12	35.11736922	SRX822835	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 31-Jul-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.69 N 73.84 W || isolate: P00869 || BioSampleModel: Metagenome or environmental
DFOH00000000	Built Environment	3863457	Near complete	90.85	33.36508453	SRX823128	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 05-Aug-2013 || env_biome: city || env_feature: subway || env_material: metal/plastic || geo_loc_name: USA:New York City || lat_lon: 40.68 N 73.87 W || isolate: P01173 || BioSampleModel: Metagenome or environmental
DFOA00000000	Built Environment	4373514	Near complete	97.67	35.41306963	SRX823120	New York City MTA subway samples Metagenome	host: not applicable || collection_date: 05-Aug-2013 || env_biome: city || env_feature: subway || env_material: wood || geo_loc_name: USA:New York City || lat_lon: 40.67 N 73.89 W || isolate: P01165 || BioSampleModel: Metagenome or environmental
DFNS00000000	Sediment	2078351	Medium	85.74	63.11788756	SRX742692	Deep igneous marine biosphere Metagenome	label: 1301_3a3b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFNM00000000	Sediment	3111269	Near complete	96.15	39.48665253	SRX742693	Deep igneous marine biosphere Metagenome	label: 1301_5a5b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFNK00000000	Sediment	1971426	Medium	76.89	62.23397554	SRX742693	Deep igneous marine biosphere Metagenome	label: 1301_5a5b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
DFNJ00000000	Sediment	2168890	Medium	87.29	63.01678746	SRX742691	Deep igneous marine biosphere Metagenome	label: 1301_1a1b || collection_date: 2008-08-10 || depth: 275 - 287 || elev: -2667 || env_biome: marine || env_feature: borehole || env_material: sediment || geo_loc_name: Pacific Ocean || lat_lon: 47.753500 N 127.763883 W || alkalinity_microEquivalentPer
