DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Environment
DCEL00000000	UBA1030	SRX691269	Medium	82.49	0.85	0	Firmicutes bacterium UBA1030 [phylum]	1606025	51.57434175	71.21	100.0064651	28318	178	62	1630	Terrestial
DCDY00000000	UBA1043	SRX691269	Near complete	90.96	2.54	25	Firmicutes bacterium UBA1043 [phylum]	2519087	50.54501649	14.45	99.65708068	72739	472	99	2341	Terrestial
DCDU00000000	UBA1047	SRX691269	Partial	54.47	0	0	Firmicutes bacterium UBA1047 [phylum]	1937997	35.81566795	12.32	98.97434365	64465	609	238	1866	Terrestial
DCDT00000000	UBA1048	SRX691269	Partial	68.02	1.06	50	Eubacteriaceae bacterium UBA1048 [family]	1588112	45.11709545	7.8	89.94312583	94288	764	155	1735	Terrestial
DCDC00000000	UBA1065	SRX371701	Near complete	94.15	0	0	Firmicutes bacterium UBA1065 [phylum]	2075962	39.41460975	12.67	97.65769699	526	225	221	2054	Bioreactor
DCCP00000000	UBA1078	SRX834663	Medium	88.2	0	0	Bacillales bacterium UBA1078 [order]	1117279	28.04868199	19.95	98.20444567	3027	131	89	1039	Gut
DCCK00000000	UBA1083	SRX834663	Near complete	94.94	0.05	100	Bacillales bacterium UBA1083 [order]	1512196	44.2862019	10.95	93.8336222	3401	159	82	1333	Gut
DCBN00000000	UBA1106	SRX834660	Medium	84.27	1.12	0	Bacillales bacterium UBA1106 [order]	1478994	40.26524427	17.95	99.89392935	734	47	39	1264	Gut
DCBJ00000000	UBA1110	SRX834660	Partial	57.39	1.12	0	Bacillales bacterium UBA1110 [order]	880970	28.02653059	9.8	92.3965088	3794	136	75	837	Gut
DBYH00000000	UBA1191	SRX035182	Medium	86.02	0.71	0	Firmicutes bacterium UBA1191 [phylum]	1447595	52.32400312	82	99.9849955	1362	51	26	1316	Gut
DBYF00000000	UBA1193	SRX035182	Medium	81.08	0.35	0	Mageeibacillus sp. UBA1193 [genus]	2289432	49.92485448	76.54	99.99638914	18505	405	148	2111	Gut
DBTK00000000	UBA1318	SRX118448	Medium	81.24	2.3	0	Spirochaetaceae bacterium UBA1318 [family]	4536144	61.46397445	10.97	99.79295699	79099	453	150	3967	Sediment
DBSN00000000	UBA1341	SRX144201	Medium	93.06	6.03	12.5	Clostridiales bacterium UBA1341 [order]	4138674	36.10820365	15.46	97.23061821	2769	204	147	3844	Bioreactor
DBRT00000000	UBA1361	ERX250271	Near complete	95.51	0	0	Bacillales bacterium UBA1361 [order]	1069851	35.75788855	256.04	100.0077745	2260	74	42	1009	Bioreactor
DBQR00000000	UBA1389	ERX250271	Near complete	92.71	0.56	0	Clostridiales bacterium UBA1389 [order]	1833410	47.25400795	32.71	99.96186805	2924	103	56	1660	Bioreactor
DBQN00000000	UBA1393	ERX250271	Medium	86.17	1.69	0	Firmicutes bacterium UBA1393 [phylum]	2262903	61.15136358	30.88	99.95411692	9349	225	100	2123	Bioreactor
DBPK00000000	UBA1422	ERX250271	Medium	83.6	0	0	Firmicutes bacterium UBA1422 [phylum]	1455888	42.51290321	15.67	99.62210172	1793	60	30	1397	Bioreactor
DCUB00000000	UBA1425	ERX250271	Medium	86.54	0.34	0	Ruminococcaceae bacterium UBA1425 [family]	2288288	50.37530138	16.19	99.54760945	1326	82	62	1981	Bioreactor
DCUA00000000	UBA1426	ERX250271	Medium	81.97	2.84	0	Firmicutes bacterium UBA1426 [phylum]	2330346	46.45742591	15.1	98.3177973	15405	498	244	2413	Bioreactor
DCTY00000000	UBA1428	ERX250271	Near complete	90.66	2.55	0	Catabacter sp. UBA1428 [genus]	2577954	56.10944496	14.13	98.87594784	1828	108	76	2382	Bioreactor
DCTM00000000	UBA1440	ERX250271	Near complete	95.27	1.68	50	Firmicutes bacterium UBA1440 [phylum]	1522432	47.45697036	9.08	88.48918166	2375	115	73	1598	Bioreactor
DCTI00000000	UBA1444	ERX250271	Medium	78.97	1.92	20	Negativicutes bacterium UBA1444 [class]	2898460	56.17447863	7.71	79.50692868	7722	411	280	3288	Bioreactor
DCPV00000000	UBA1535	SRX822551	Near complete	91.84	3.15	0	Firmicutes bacterium UBA1535 [phylum]	3138133	31.54148814	8.74	90.19896843	30052	573	317	3060	Built Environment
DCNL00000000	UBA1597	SRX206471	Medium	87.13	0.25	0	Bacillus subtilis [species]	3577084	43.644809	2.86	99.94117909	3525	47	25	3572	Bioreactor
DCMK00000000	UBA1624	SRX834652	Near complete	94.41	2.62	25	Bacillales bacterium UBA1624 [order]	1467045	53.73745294	11.88	97.32286066	8137	181	84	1304	Gut
DCJX00000000	UBA1689	SRX498680	Near complete	97.13	1.71	0	Lachnospiraceae bacterium UBA1689 [family]	5003058	48.60807604	97.62	99.9800287	881	158	143	4643	Gut
DCJP00000000	UBA1697	SRX498680	Near complete	96.23	0	0	Faecalibacterium sp. UBA1697 [genus]	3120072	58.51829383	42.26	99.9852504	1343	88	69	2803	Gut
DCJM00000000	UBA1700	SRX498680	Near complete	95.19	0	0	Acidaminococcus fermentans [species]	2068134	56.77486239	25.45	99.93221022	2926	110	62	1867	Gut
DCJK00000000	UBA1702	SRX498680	Near complete	99.29	0	0	Firmicutes bacterium UBA1702 [phylum]	2231297	43.57319643	23.96	99.89503654	997	73	57	2231	Gut
DCJJ00000000	UBA1703	SRX498680	Near complete	96.78	1.27	33.33	Dialister sp. UBA1703 [genus]	2069393	52.252511	20.08	99.75713566	8160	302	179	1750	Gut
DCJF00000000	UBA1707	SRX498680	Partial	63.18	1.57	0	Clostridiales bacterium UBA1707 [order]	2024887	63.99808053	10.99	95.30518272	9750	399	209	2129	Gut
DCJD00000000	UBA1709	SRX498681	Medium	89.89	2.25	50	Bacillales bacterium UBA1709 [order]	836904	28.34130963	284.7	100.0092473	4229	68	27	804	Gut
DCHZ00000000	UBA1739	SRX498681	Near complete	90.78	0.95	0	Firmicutes bacterium UBA1739 [phylum]	1633413	41.87477983	45.86	99.99430233	1168	52	40	1451	Gut
DCHA00000000	UBA1764	SRX498681	Medium	80	1.42	0	Firmicutes bacterium UBA1764 [phylum]	1481509	42.84616491	22.28	99.75420243	7125	170	77	1362	Gut
DCGW00000000	UBA1768	SRX498681	Medium	87.61	0.71	0	Firmicutes bacterium UBA1768 [phylum]	1526116	42.73939963	20.94	99.47142887	5980	184	94	1401	Gut
DCGS00000000	UBA1772	SRX498681	Medium	82.16	0.67	0	Ruminococcaceae bacterium UBA1772 [family]	1481356	38.99220836	20.3	99.63732339	16966	293	101	1443	Gut
DCGJ00000000	UBA1781	SRX498681	Medium	80.42	0.69	0	Lachnoclostridium sp. UBA1781 [genus]	2215774	46.4194777	14.3	97.53408765	7423	334	180	1959	Gut
DCFY00000000	UBA1792	SRX118501	Partial	58.05	1.32	66.67	Megamonas sp. UBA1792 [genus]	1287857	41.58465501	91.51	99.97595028	23809	240	171	1321	Sediment
DCFU00000000	UBA1796	SRX118501	Near complete	97.78	1.27	0	Megamonas sp. UBA1796 [genus]	3508512	44.74785067	25.99	99.98721713	3823	67	53	3270	Sediment
DCFR00000000	UBA1799	SRX118501	Near complete	99.16	1.27	0	Megamonas sp. UBA1799 [genus]	2479342	49.6095322	16.42	99.73401421	11917	135	92	2346	Sediment
DCFC00000000	UBA1814	SRX252167	Near complete	98.42	1.27	0	Megamonas hypermegale [species]	2373008	43.21129773	125.57	99.9878559	1487	84	55	2248	Gut
DCEU00000000	UBA1822	SRX252167	Partial	53.11	0	0	Veillonellaceae bacterium UBA1822 [family]	1038107	59.33393856	21.4	99.86565435	485	25	15	958	Gut
DDHO00000000	UBA1874	SRX595695	Medium	85.94	0.85	0	Firmicutes bacterium UBA1874 [phylum]	1596006	42.21919724	16.8	99.74859157	17300	179	105	1601	Oil
DDHB00000000	UBA1887	SRX822413	Near complete	95.68	4.14	0	Sporomusaceae bacterium UBA1887 [family]	4195519	44.32349706	9.67	92.25152192	1960	137	116	4269	Built Environment
DDCL00000000	UBA2007	SRX1044556	Near complete	98.71	0.52	0	Pseudomonadaceae bacterium UBA2007 [family]	4072439	61.6558894	693.44	100.0009594	7554	71	37	3782	Sediment
DDAM00000000	UBA2058	SRX822397	Medium	86.31	4.55	0	Firmicutes bacterium UBA2058 [phylum]	3289114	29.7059498	19.63	99.95903043	1308	82	72	3058	Built Environment
DCZH00000000	UBA2089	SRX516606	Near complete	91.2	2.35	40	Ruminococcaceae bacterium UBA2089 [family]	1606749	41.59554442	17.05	99.32206833	41252	540	191	1548	Bioreactor
DCYG00000000	UBA2116	SRX822889	Near complete	98.02	3.15	0	Firmicutes bacterium UBA2116 [phylum]	3593002	35.07371374	18.85	99.95010867	5204	87	49	3487	Built Environment
DCUX00000000	UBA2203	SRX327722	Near complete	90.03	0	0	Firmicutes bacterium UBA2203 [phylum]	2214966	43.08751963	33.72	99.95619797	457	62	56	2202	Bioreactor
DCUR00000000	UBA2209	SRX327722	Medium	77.48	0	0	Firmicutes bacterium UBA2209 [phylum]	1587217	42.06173031	26.66	99.80478837	3295	154	101	1627	Bioreactor
DCUO00000000	UBA2212	SRX327722	Near complete	93.61	0.94	0	Erysipelotrichaceae bacterium UBA2212 [family]	1827033	40.79726859	25.16	99.75323448	2629	139	97	1959	Bioreactor
DDXL00000000	UBA2261	SRX559894	Near complete	97.13	2.1	33.33	Firmicutes bacterium UBA2261 [phylum]	1800396	42.58315633	24.53	99.79337418	1976	156	125	1873	Bioreactor
DDXD00000000	UBA2269	SRX559894	Medium	83.94	3.8	10	Firmicutes bacterium UBA2269 [phylum]	1835529	46.34433814	9	86.79248265	362	227	219	1951	Bioreactor
DDWI00000000	UBA2290	SRX559898	Medium	85.58	1.77	0	Firmicutes bacterium UBA2290 [phylum]	2973050	41.33869789	17.51	99.8519263	206	46	44	2840	Biofilm
DDWC00000000	UBA2296	SRX559898	Near complete	90.56	2.99	22.22	Firmicutes bacterium UBA2296 [phylum]	2447324	54.65508664	8.19	83.66430512	1043	274	257	2552	Biofilm
DDNC00000000	UBA2530	SRX822576	Near complete	97.67	1.4	0	Firmicutes bacterium UBA2530 [phylum]	3255849	38.33339632	10.76	96.11666773	1170	42	29	3217	Built Environment
DDMB00000000	UBA2557	ERX923322	Near complete	90.52	2.45	0	Firmicutes bacterium UBA2557 [phylum]	1917732	49.59344817	10.77	95.40021044	11210	203	87	1810	Bioreactor
DDLY00000000	UBA2560	ERX923321	Medium	82.38	0.09	100	Firmicutes bacterium UBA2560 [phylum]	1714253	49.7235102	10.15	89.54363128	32455	321	207	1676	Bioreactor
DDLB00000000	UBA2583	SRX822369	Medium	80.65	1.27	0	Hungatella sp. UBA2583 [genus]	4367805	44.07898593	5.63	57.26951345	17562	682	499	5437	Built Environment
DDKP00000000	UBA2595	SRX745164	Medium	73.15	0.51	0	Firmicutes bacterium UBA2595 [phylum]	1742630	48.58458758	479.34	100.0136784	75766	376	179	1756	Terrestial
DDKM00000000	UBA2598	SRX745164	Medium	78.75	1.02	50	Firmicutes bacterium UBA2598 [phylum]	2440742	55.77871729	38.96	99.95187426	15844	155	110	2414	Terrestial
DEOE00000000	UBA2626	SRX823364	Medium	82.85	0.61	0	Anaerococcus sp. UBA2626 [genus]	1670262	30.43374495	7.01	72.16405972	6819	155	63	1792	Built Environment
DENZ00000000	UBA2631	SRX823365	Near complete	94.17	2.45	0	Firmicutes bacterium UBA2631 [phylum]	3574095	35.17479688	20.08	99.93902272	633	85	76	3521	Built Environment
DEKB00000000	UBA2733	SRX331739	Near complete	97.6	0	0	Acidaminococcus sp. UBA2733 [genus]	2284641	55.85994557	26.4	99.91807916	729	95	82	2051	Gut
DEDZ00000000	UBA2891	ERX1064485	Medium	87.71	0.69	0	Lachnospiraceae bacterium UBA2891 [family]	2227501	52.8415925	26.69	99.97242166	30124	399	71	1856	Gut
DEDH00000000	UBA2909	ERX1064485	Near complete	93.37	0	0	Dialister sp. UBA2909 [genus]	2037703	50.89209021	13.09	98.56367398	22492	335	146	1770	Gut
DFDD00000000	UBA3036	SRX822217	Near complete	94.17	3.85	0	Firmicutes bacterium UBA3036 [phylum]	3624016	35.37457099	16.95	99.87574331	871	63	56	3457	Built Environment
DFAQ00000000	UBA3102	SRX993394	Medium	87.73	0.21	0	Pelotomaculum sp. UBA3102 [genus]	1624335	49.49908199	28.71	99.93008569	13792	120	78	1675	Sediment
DFAP00000000	UBA3103	SRX993394	Medium	78.95	3.51	0	Pelotomaculum sp. UBA3103 [genus]	2391592	47.53263936	17.93	99.55980392	13788	191	149	2457	Sediment
DEWH00000000	UBA3215	SRX290720	Medium	78.64	0.22	100	Ruminococcaceae bacterium UBA3215 [family]	2457489	49.53165743	39.28	99.9922588	3089	69	30	2186	Gut
DEWF00000000	UBA3217	SRX290720	Near complete	94.35	0	0	Catabacter sp. UBA3217 [genus]	1420066	49.18983863	27.86	99.99732225	966	27	12	1173	Gut
DEVR00000000	UBA3231	SRX823000	Medium	96.79	5.24	0	Firmicutes bacterium UBA3231 [phylum]	3632025	29.97103229	22.38	99.99000449	395	26	21	3426	Built Environment
DESE00000000	UBA3322	SRX803753	Medium	87.85	1.9	100	Sutterellaceae bacterium UBA3322 [family]	1893339	49.58208738	42.01	99.9821848	12922	160	117	1750	Gut
DEQG00000000	UBA3372	ERX222794	Medium	87.29	2.2	0	Salinicoccus sp. UBA3372 [genus]	2057225	43.49806269	60.62	100.0068573	30183	460	149	2109	Gut
DFPH00000000	UBA3520	SRX822835	Medium	80.12	1.75	0	Firmicutes bacterium UBA3520 [phylum]	3703527	35.11736922	11.72	97.16209767	3153	104	73	3652	Built Environment
DFOH00000000	UBA3546	SRX823128	Near complete	90.85	3.05	0	Firmicutes bacterium UBA3546 [phylum]	3863457	33.36508453	15.47	99.70512557	1135	76	65	3641	Built Environment
DFOA00000000	UBA3553	SRX823120	Near complete	97.67	3.15	0	Firmicutes bacterium UBA3553 [phylum]	4373514	35.41306963	14.9	99.56721245	1854	90	74	4320	Built Environment
DFNS00000000	UBA3561	SRX742692	Medium	85.74	2.48	33.33	Firmicutes bacterium UBA3561 [phylum]	2078351	63.11788756	46.28	99.42091959	1092	160	153	2062	Sediment
DFNM00000000	UBA3567	SRX742693	Near complete	96.15	0	0	Firmicutes bacterium UBA3567 [phylum]	3111269	39.48665253	26.96	99.73678891	24393	345	274	3024	Sediment
DFNK00000000	UBA3569	SRX742693	Medium	76.89	0.77	100	Firmicutes bacterium UBA3569 [phylum]	1971426	62.23397554	24.42	99.51822714	10751	252	215	2077	Sediment
DFNJ00000000	UBA3570	SRX742691	Medium	87.29	0.5	0	Firmicutes bacterium UBA3570 [phylum]	2168890	63.01678746	215.75	99.99737004	1558	41	36	2077	Sediment
DFNH00000000	UBA3572	SRX742691	Near complete	98.41	0	0	Firmicutes bacterium UBA3572 [phylum]	2033475	59.38367621	99.27	99.99576274	3860	51	40	2100	Sediment
DFNG00000000	UBA3573	SRX742691	Near complete	94.67	0.96	100	Firmicutes bacterium UBA3573 [phylum]	2991232	39.51928898	89.04	99.95194243	34362	367	258	2925	Sediment
DFNE00000000	UBA3575	SRX742691	Near complete	92.54	2.97	0	Firmicutes bacterium UBA3575 [phylum]	2468025	55.76562354	51.43	99.74766205	23684	223	151	2378	Sediment
DFND00000000	UBA3576	SRX742691	Medium	79.24	0	0	Firmicutes bacterium UBA3576 [phylum]	1991268	62.86396904	51.89	99.81204572	9403	128	98	1999	Sediment
DFMW00000000	UBA3583	SRX218560	Medium	89.12	2.1	0	Firmicutes bacterium UBA3583 [phylum]	2388284	32.07775636	13.5	97.79849181	9006	210	127	2462	Terrestial
DFKT00000000	UBA3638	SRX290713	Medium	81	3.14	37.5	Lachnospiraceae bacterium UBA3638 [family]	1944913	47.11757041	19.94	99.90740216	3183	143	112	1742	Gut
DFKC00000000	UBA3655	SRX290712	Near complete	96.8	0.48	100	Pseudobutyrivibrio sp. UBA3655 [genus]	2575031	36.18924554	59.05	99.99448318	1084	44	32	2379	Gut
DFIW00000000	UBA3687	SRX290711	Near complete	95.48	0.31	0	Lachnospiraceae bacterium UBA3687 [family]	2378884	52.13298434	52.13	99.99587732	1792	53	28	2107	Gut
DFIJ00000000	UBA3700	SRX290711	Medium	83.23	3.03	0	Catabacter sp. UBA3700 [genus]	1791480	32.84795196	20.58	99.6888791	1822	197	179	1739	Gut
DFHP00000000	UBA3720	SRX290710	Near complete	94.89	2.83	5.56	Eubacterium sp. UBA3720 [genus]	2705521	46.68071513	53.01	99.95346476	12938	340	210	2468	Gut
DFHJ00000000	UBA3726	SRX290710	Medium	89.89	2.79	14.29	Anaerovibrio lipolyticus [species]	2043890	44.09992828	30.3	99.92229131	5508	190	143	1915	Gut
DFHH00000000	UBA3728	SRX290710	Near complete	91.24	2.59	0	Faecalitalea sp. UBA3728 [genus]	1911382	38.08370705	28.4	99.97749614	599	52	45	1982	Gut
DFGY00000000	UBA3738	SRX290710	Near complete	92.53	0.71	0	Firmicutes bacterium UBA3738 [phylum]	2025041	45.70698921	16.73	99.58102623	1764	151	129	1894	Gut
DFEY00000000	UBA3790	SRX290714	Near complete	95.81	0	0	Lachnospira sp. UBA3790 [genus]	1618155	36.65570361	80.59	100.002968	906	13	3	1410	Gut
DFEX00000000	UBA3791	SRX290714	Medium	80.81	0	0	Ruminococcus flavefaciens [species]	2576817	49.16938935	36.96	99.96215923	5516	160	100	2323	Gut
DFET00000000	UBA3795	SRX290714	Near complete	90.02	0.81	75	Lachnospiraceae bacterium UBA3795 [family]	2106399	38.3854083	22.74	99.9499666	1805	88	67	1874	Gut
DFES00000000	UBA3796	SRX290714	Near complete	90.9	3.48	16.67	Selenomonadaceae bacterium UBA3796 [family]	2217855	52.56662481	18.94	99.32994243	6254	295	232	2173	Gut
DFDZ00000000	UBA3815	SRX290719	Near complete	95.72	0.63	0	Selenomonadales bacterium UBA3815 [order]	2503404	45.16567873	31.18	99.96379984	3415	104	70	2230	Gut
DGIB00000000	UBA3833	SRX290718	Near complete	95.81	0	0	Lachnospira sp. UBA3833 [genus]	1617334	36.65674928	185.65	100.0052577	644	14	5	1409	Gut
DGHI00000000	UBA3852	SRX290718	Near complete	96.02	0.67	0	Lachnospira sp. UBA3852 [genus]	1892605	39.7000854	36.59	99.99164554	1400	44	29	1628	Gut
DGHB00000000	UBA3859	SRX290718	Partial	68.56	0.72	0	Catabacter sp. UBA3859 [genus]	1565207	49.169404	21.41	99.95263599	728	25	14	1224	Gut
DGGP00000000	UBA3871	SRX290718	Partial	56.38	0.86	0	Firmicutes bacterium UBA3871 [phylum]	1479472	47.73949778	7.96	81.41428757	1880	205	176	1418	Gut
DGGJ00000000	UBA3877	SRX822743	Near complete	94.51	1.55	100	Leuconostoc citreum [species]	1733837	39.01541663	10.19	95.92749765	13617	228	115	1755	Built Environment
DGFN00000000	UBA3899	ERX1109759	Near complete	91.27	2.19	0	Firmicutes bacterium UBA3899 [phylum]	2084840	59.44323451	459.17	100.00044	39275	268	100	2062	Bioreactor
DGFL00000000	UBA3901	ERX1109759	Partial	69.23	0	0	Firmicutes bacterium UBA3901 [phylum]	1569359	49.79100239	49.68	99.9179803	62404	404	146	1457	Bioreactor
DGFK00000000	UBA3902	ERX1109759	Partial	54.85	0.03	0	Firmicutes bacterium UBA3902 [phylum]	1206200	54.12093546	45.03	99.83190452	69941	432	132	1213	Bioreactor
DGFI00000000	UBA3904	ERX1109759	Near complete	91.5	1.27	0	Firmicutes bacterium UBA3904 [phylum]	1892058	56.11630383	23.05	99.83280455	22988	236	129	1912	Bioreactor
DGFG00000000	UBA3906	ERX1109759	Medium	84.59	2.82	25	Firmicutes bacterium UBA3906 [phylum]	1898868	40.83345593	19.8	99.8093486	43125	342	172	1779	Bioreactor
DGFF00000000	UBA3907	ERX1109759	Medium	82.34	0	0	Firmicutes bacterium UBA3907 [phylum]	1729345	45.07465955	18.97	99.80184194	30701	272	141	1604	Bioreactor
DGFD00000000	UBA3909	ERX1109759	Medium	73.08	0.96	0	Tepidanaerobacter sp. UBA3909 [genus]	1887242	42.20579178	14.65	99.12063884	24981	302	183	1928	Bioreactor
DGFC00000000	UBA3910	ERX1109759	Medium	77.92	3.18	0	Firmicutes bacterium UBA3910 [phylum]	1947816	52.39835522	12.63	98.93074975	23664	312	191	1991	Bioreactor
DGEY00000000	UBA3914	ERX1109758	Near complete	93.76	1.98	0	Firmicutes bacterium UBA3914 [phylum]	2148102	59.3762003	646.78	99.99711099	36655	278	102	2115	Bioreactor
DGEX00000000	UBA3915	ERX1109758	Partial	55.13	0	0	Firmicutes bacterium UBA3915 [phylum]	1173221	49.69268339	329.65	100.0241033	69636	373	81	1144	Bioreactor
DGEU00000000	UBA3918	ERX1109758	Medium	87.02	1.92	0	Firmicutes bacterium UBA3918 [phylum]	2236498	53.72430527	116.1	99.98350062	30355	210	61	2101	Bioreactor
DGET00000000	UBA3919	ERX1109758	Near complete	92.16	0.49	0	Firmicutes bacterium UBA3919 [phylum]	2433245	53.55569367	90.91	99.9921318	43880	258	72	2221	Bioreactor
DGES00000000	UBA3920	ERX1109758	Near complete	92.49	0	0	Firmicutes bacterium UBA3920 [phylum]	1827677	34.50418459	86.72	99.97505475	71832	427	134	1683	Bioreactor
DGER00000000	UBA3921	ERX1109758	Medium	74.44	0	0	Tepidanaerobacter sp. UBA3921 [genus]	1821767	42.29989181	80.5	99.97237207	59058	394	141	1799	Bioreactor
DGEP00000000	UBA3923	ERX1109758	Medium	88.6	0.42	0	Firmicutes bacterium UBA3923 [phylum]	1896637	56.20309728	66.72	99.94076293	32939	264	113	1884	Bioreactor
DGEN00000000	UBA3925	ERX1109758	Medium	89.27	0.99	0	Firmicutes bacterium UBA3925 [phylum]	1731728	53.36125156	60.2	99.98318367	19107	126	37	1584	Bioreactor
DGEM00000000	UBA3926	ERX1109758	Partial	51.75	0	0	Firmicutes bacterium UBA3926 [phylum]	1309972	45.09293343	48.74	99.95944413	20393	149	58	1252	Bioreactor
DGEK00000000	UBA3928	ERX1109758	Near complete	91.82	1.01	0	Firmicutes bacterium UBA3928 [phylum]	2153276	48.86343261	44.11	99.97507569	22826	183	82	2031	Bioreactor
DGEI00000000	UBA3930	ERX1109758	Medium	86.06	0	0	Firmicutes bacterium UBA3930 [phylum]	1988224	42.72676507	37.18	99.95857364	11222	100	50	1812	Bioreactor
DGEH00000000	UBA3931	ERX1109758	Near complete	96.97	4.2	0	Firmicutes bacterium UBA3931 [phylum]	3019212	34.1066709	35.34	99.91837197	36168	415	250	2974	Bioreactor
DGEG00000000	UBA3932	ERX1109758	Medium	82.33	3.19	33.33	Firmicutes bacterium UBA3932 [phylum]	1892081	46.6921125	32.17	99.88518821	26419	301	185	1796	Bioreactor
DGEC00000000	UBA3936	ERX1109758	Medium	89.34	0.03	100	Firmicutes bacterium UBA3936 [phylum]	2017191	49.41230857	29.54	99.89568757	9760	173	129	1982	Bioreactor
DGEB00000000	UBA3937	ERX1109758	Near complete	90.71	1.86	0	Peptococcaceae bacterium UBA3937 [family]	1713443	48.82490005	26.95	99.86300182	17800	156	71	1632	Bioreactor
DGDX00000000	UBA3941	ERX1109758	Medium	78.97	3.23	0	Firmicutes bacterium UBA3941 [phylum]	2093111	42.43763156	21.49	99.85047376	29928	259	129	1942	Bioreactor
DGDW00000000	UBA3942	ERX1109758	Partial	64.06	1.21	0	Firmicutes bacterium UBA3942 [phylum]	1695219	41.37036288	20.8	99.88725197	29558	232	112	1568	Bioreactor
DGDV00000000	UBA3943	ERX1109758	Near complete	90.18	1.13	0	Firmicutes bacterium UBA3943 [phylum]	2180608	52.34001199	19.58	99.83916226	6367	96	60	2076	Bioreactor
DGDU00000000	UBA3944	ERX1109758	Near complete	94.54	1.44	50	Catabacter sp. UBA3944 [genus]	1719977	50.86137624	18.78	99.854762	13812	130	58	1441	Bioreactor
DGDR00000000	UBA3947	ERX1109758	Medium	90.9	5.61	11.11	Clostridium sp. UBA3947 [genus]	3184899	34.33346498	17.36	99.61493476	24915	377	264	3037	Bioreactor
DGDN00000000	UBA3951	ERX1109758	Medium	84.79	0	0	Firmicutes bacterium UBA3951 [phylum]	2137398	57.3185949	15.1	99.60601809	24103	239	123	2065	Bioreactor
DGDM00000000	UBA3952	ERX1109758	Medium	87.07	1.61	33.33	Halothermothrix sp. UBA3952 [genus]	1690765	40.46629856	13.59	98.9444271	18403	249	153	1673	Bioreactor
DGDJ00000000	UBA3955	ERX1109758	Medium	75.32	0.32	0	Pelotomaculum sp. UBA3955 [genus]	2115683	49.92958263	11.84	98.86569912	16769	280	187	2037	Bioreactor
