DDBJ/ENA/GenBank Accession	UBA Genome ID	SRA Bin ID	Genome Quality	CheckM Completeness	CheckM Contamination	CheckM Strain Heterogeneity	NCBI Organism Name	SSU Length (bp)	SSU Percent Identity (top hit)	SSU SILVA Taxonomy (top hit)	SSU Top Hit in SILVA	Genome Size (bp)	GC	Coverage	Bases >5x Coverage (%)	No. Ambiguous Bases	No. Contigs	No. Scaffolds	No. Predicted Genes	Coding density	Longest Contig (bp)	Longest Scaffold (bp)	Mean Contig Length (bp)	Mean Scaffold Length (bp)	N50 (contigs)	N50 (scaffolds)	Translation Table	Scaffolds Removed by Filtering	Standard tRNAs	Selenocysteine tRNAs (TCA)	tRNAs Decoding Standard 20 AA	Total tRNAs	Percent PG (relative to NCBI genomes)	CheckM Marker Lineage	CheckM # genomes	CheckM # marker sets	CheckM # markers	CheckM Insertion Branch ID	Environment
DBEH00000000	UBA911	SRX748868	Medium	81.21	0.64	0	Firmicutes bacterium UBA911 [phylum]	869	100	Bacteria;Firmicutes;Clostridia;Clostridia Incertae Sedis;Unknown Family;Candidatus Desulforudis;uncultured bacterium	AM778013.1.1557	1523585	62.81647248	46.72	99.94564151	15081	103	60	1533	0.851137285	80972	121751	14645	25393	27425	38164	11	2	16	1	34	35	0.003755	p__Firmicutes (UID1022)	100	157	293	UID1101	Built Environment
DBCZ00000000	UBA945	SRX255561	Near complete	91.93	0.89	50	Ruminococcaceae bacterium UBA945 [family]	350	93.785	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5;uncultured Ruminococcaceae bacterium	JN680609.1.1467	1672921	49.95574194	12.42	98.23969927	6558	226	96	1705	0.890256025	36179	58771	7373	17426	15044	24244	11	0	17	0	30	31	0.013692	o__Clostridiales (UID1212)	172	149	263	UID1234	Gut
DBBD00000000	UBA993	SRX748870	Medium	81.81	0.99	0	Firmicutes bacterium UBA993 [phylum]					1922628	49.74031729	35.52	98.88345885	17996	215	163	1797	0.879487868	47226	50927	8858	11795	13609	16018	11	7	19	0	35	35	0.018524	p__Firmicutes (UID241)	930	118	213	UID1023	Biofilm
DBBC00000000	UBA994	SRX748870	Medium	80.37	0.85	0	Firmicutes bacterium UBA994 [phylum]	1553	96.543	Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;SRB2;uncultured Firmicutes bacterium	AB476673.1.1557	1446131	54.59235239	16.95	99.17031362	22340	223	158	1460	0.887635353	34617	34617	6384	9152	10301	12438	11	0	19	1	34	35	0.035921	p__Firmicutes (UID241)	930	118	213	UID242	Biofilm
DBBB00000000	UBA995	SRX748870	Medium	86.14	1.98	0	Firmicutes bacterium UBA995 [phylum]					1654358	65.58326134	14.3	98.20935332	21205	250	190	1707	0.889780809	51915	51915	6532	8707	11776	13491	11	4	18	0	36	36	0.035188	p__Firmicutes (UID239)	1324	101	175	UID1447	Biofilm
DCEL00000000	UBA1030	SRX691269	Medium	82.49	0.85	0	Firmicutes bacterium UBA1030 [phylum]					1606025	51.57434175	71.21	100.0064651	28318	178	62	1630	0.867952242	118776	118776	8863	25903	20044	38820	11	1	17	1	34	37	0.034679	p__Firmicutes (UID241)	930	118	213	UID1023	Terrestial
DCDY00000000	UBA1043	SRX691269	Near complete	90.96	2.54	25	Firmicutes bacterium UBA1043 [phylum]					2519087	50.54501649	14.45	99.65708068	72739	472	99	2341	0.811372533	40141	103246	5182	25445	11328	40266	11	0	16	0	35	38	0.03068	p__Firmicutes (UID241)	930	118	213	UID1023	Terrestial
DCDU00000000	UBA1047	SRX691269	Partial	54.47	0	0	Firmicutes bacterium UBA1047 [phylum]					1937997	35.81566795	12.32	98.97434365	64465	609	238	1866	0.779410907	27109	49356	3076	8142	5601	10349	11	2	5	0	7	7	0.008107	k__Bacteria (UID203)	5449	58	103	UID1148	Terrestial
DCDT00000000	UBA1048	SRX691269	Partial	68.02	1.06	50	Eubacteriaceae bacterium UBA1048 [family]	655	99.078	Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;uncultured bacterium	JX575821.1.1494	1588112	45.11709545	7.8	89.94312583	94288	764	155	1735	0.725618218	14078	45378	1955	10245	3630	12680	11	3	10	0	14	15	0.025448	o__Clostridiales (UID1120)	304	142	249	UID1122	Terrestial
DCDC00000000	UBA1065	SRX371701	Near complete	94.15	0	0	Firmicutes bacterium UBA1065 [phylum]					2075962	39.41460975	12.67	97.65769699	526	225	221	2054	0.894748555	45295	76893	9224	9393	11719	11874	11	15	10	0	15	16	0.010445	o__Clostridiales (UID1120)	304	143	250	UID1125	Bioreactor
DCCP00000000	UBA1078	SRX834663	Medium	88.2	0	0	Bacillales bacterium UBA1078 [order]	742	96.552	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured Mollicutes bacterium	AM420117.1.1486	1117279	28.04868199	19.95	98.20444567	3027	131	89	1039	0.911662172	43149	53355	8505	12553	14123	17554	11	14	16	0	29	30	0.033058	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DCCK00000000	UBA1083	SRX834663	Near complete	94.94	0.05	100	Bacillales bacterium UBA1083 [order]	591	99.425	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	JQ191015.1.1342	1512196	44.2862019	10.95	93.8336222	3401	159	82	1333	0.90448262	72862	72862	9489	18441	19089	30971	11	1	17	0	32	34	0.040321	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DCBN00000000	UBA1106	SRX834660	Medium	84.27	1.12	0	Bacillales bacterium UBA1106 [order]	1008	92.017	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EF515475.1.1382	1478994	40.26524427	17.95	99.89392935	734	47	39	1264	0.882011016	106767	176890	31452	37922	51284	60787	11	2	19	0	44	44	0.036626	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DCBJ00000000	UBA1110	SRX834660	Partial	57.39	1.12	0	Bacillales bacterium UBA1110 [order]	1040	92.902	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	EU009857.1.1452	880970	28.02653059	9.8	92.3965088	3794	136	75	837	0.901906989	69427	69427	6449	11746	11284	17792	11	2	13	0	15	15	0.023023	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DBYH00000000	UBA1191	SRX035182	Medium	86.02	0.71	0	Firmicutes bacterium UBA1191 [phylum]	313	98.697	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group;uncultured rumen bacterium	EU381689.1.1479	1447595	52.32400312	82	99.9849955	1362	51	26	1316	0.929690279	105645	181910	28357	55676	54368	76567	11	0	14	0	28	28	0.016179	o__Clostridiales (UID1120)	304	141	247	UID1150	Gut
DBYF00000000	UBA1193	SRX035182	Medium	81.08	0.35	0	Mageeibacillus sp. UBA1193 [genus]	312	98.397	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Saccharofermentans;uncultured rumen bacterium	LN613098.1.1485	2289432	49.92485448	76.54	99.99638914	18505	405	148	2111	0.886905573	37455	90577	5607	15469	10322	22580	11	10	14	0	31	32	0.003755	o__Clostridiales (UID1120)	304	141	247	UID1214	Gut
DBTK00000000	UBA1318	SRX118448	Medium	81.24	2.3	0	Spirochaetaceae bacterium UBA1318 [family]	570	89.399	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Fonticella;uncultured bacterium	JX628608.1.1506	4536144	61.46397445	10.97	99.79295699	79099	453	150	3967	0.882894591	71424	142753	9838	30240	22428	44016	11	2	16	0	25	25	0.016653	k__Bacteria (UID2495)	2993	87	141	UID2535	Sediment
DBSN00000000	UBA1341	SRX144201	Medium	93.06	6.03	12.5	Clostridiales bacterium UBA1341 [order]	1578	99.753	Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitaleaceae UCG-011;uncultured bacterium	JX391512.1.1490	4138674	36.10820365	15.46	97.23061821	2769	204	147	3844	0.925520831	279082	279297	20274	28154	53227	80078	11	222	13	0	26	27	0.021277	o__Clostridiales (UID1212)	172	149	263	UID1247	Bioreactor
DBRT00000000	UBA1361	ERX250271	Near complete	95.51	0	0	Bacillales bacterium UBA1361 [order]	1521	99.204	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	GQ135307.1.1382	1069851	35.75788855	256.04	100.0077745	2260	74	42	1009	0.905072762	87309	90086	14426	25472	27347	35873	11	2	19	0	43	43	0.035169	k__Bacteria (UID2329)	174	89	149	UID2372	Bioreactor
DBQR00000000	UBA1389	ERX250271	Near complete	92.71	0.56	0	Clostridiales bacterium UBA1389 [order]	561	89.963	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-010;uncultured bacterium	AB234005.1.1429	1833410	47.25400795	32.71	99.96186805	2924	103	56	1660	0.899966183	80727	114150	17771	32739	27959	58890	11	1	12	0	25	25	0.016592	o__Clostridiales (UID1212)	172	149	263	UID1226	Bioreactor
DBQN00000000	UBA1393	ERX250271	Medium	86.17	1.69	0	Firmicutes bacterium UBA1393 [phylum]					2262903	61.15136358	30.88	99.95411692	9349	225	100	2123	0.883655199	90082	91987	10015	22629	23602	43520	11	16	15	1	36	37	0.007254	p__Firmicutes (UID241)	930	118	213	UID1022	Bioreactor
DBPK00000000	UBA1422	ERX250271	Medium	83.6	0	0	Firmicutes bacterium UBA1422 [phylum]					1455888	42.51290321	15.67	99.62210172	1793	60	30	1397	0.912320178	99112	227471	24234	48529	54084	90566	11	0	16	1	22	24	0.013574	o__Clostridiales (UID1120)	304	141	247	UID1150	Bioreactor
DCUB00000000	UBA1425	ERX250271	Medium	86.54	0.34	0	Ruminococcaceae bacterium UBA1425 [family]	623	96.736	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;uncultured bacterium	GQ135279.1.1376	2288288	50.37530138	16.19	99.54760945	1326	82	62	1981	0.902082692	131258	147726	27889	36907	47754	55574	11	0	12	0	25	26	0.016992	o__Clostridiales (UID1212)	172	149	263	UID1234	Bioreactor
DCUA00000000	UBA1426	ERX250271	Medium	81.97	2.84	0	Firmicutes bacterium UBA1426 [phylum]					2330346	46.45742591	15.1	98.3177973	15405	498	244	2413	0.868692031	65015	89909	4648	9550	7932	13164	11	17	14	1	24	25	0.013829	o__Clostridiales (UID1120)	304	141	247	UID1150	Bioreactor
DCTY00000000	UBA1428	ERX250271	Near complete	90.66	2.55	0	Catabacter sp. UBA1428 [genus]	357	99	Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured bacterium	DQ800642.1.1301	2577954	56.10944496	14.13	98.87594784	1828	108	76	2382	0.86433505	131547	148821	23853	33920	47634	63612	11	3	13	0	24	26	0.026035	c__Clostridia (UID1118)	387	124	223	UID1119	Bioreactor
DCTM00000000	UBA1440	ERX250271	Near complete	95.27	1.68	50	Firmicutes bacterium UBA1440 [phylum]					1522432	47.45697036	9.08	88.48918166	2375	115	73	1598	0.89255415	75063	161975	13217	20855	24523	36269	11	0	6	1	10	12	0.012372	o__Clostridiales (UID1120)	304	141	247	UID1150	Bioreactor
DCTI00000000	UBA1444	ERX250271	Medium	78.97	1.92	20	Negativicutes bacterium UBA1444 [class]	314	95.752	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured;uncultured bacterium	KJ957718.1.1486	2898460	56.17447863	7.71	79.50692868	7722	411	280	3288	0.89584124	62943	62997	7033	10351	11661	14275	11	4	13	0	18	20	0.017703	p__Firmicutes (UID1022)	100	158	294	UID1061	Bioreactor
DCPV00000000	UBA1535	SRX822551	Near complete	91.84	3.15	0	Firmicutes bacterium UBA1535 [phylum]					3138133	31.54148814	8.74	90.19896843	30052	573	317	3060	0.814710211	28098	65770	5424	9899	8924	14095	11	13	17	0	29	29	0.01345	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DCNL00000000	UBA1597	SRX206471	Medium	87.13	0.25	0	Bacillus subtilis [species]	789	100	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis	JPNZ01000003.3261.4816	3577084	43.644809	2.86	99.94117909	3525	47	25	3572	0.884223015	370491	813662	76033	143083	160123	258982	11	1	15	0	25	25	0	g__Bacillus (UID865)	36	269	1200	UID884	Bioreactor
DCMK00000000	UBA1624	SRX834652	Near complete	94.41	2.62	25	Bacillales bacterium UBA1624 [order]	1621	95.94	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium	FJ684975.1.1424	1467045	53.73745294	11.88	97.32286066	8137	181	84	1304	0.897952687	89018	96935	8060	17464	17452	27015	11	3	19	0	43	44	0.037069	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DCJX00000000	UBA1689	SRX498680	Near complete	97.13	1.71	0	Lachnospiraceae bacterium UBA1689 [family]	395	99.746	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;uncultured bacterium	EF405388.1.1495	5003058	48.60807604	97.62	99.9800287	881	158	143	4643	0.854879156	237950	237954	31659	34986	48302	53271	11	2	18	0	41	41	0	f__Lachnospiraceae (UID1255)	90	174	354	UID1286	Gut
DCJP00000000	UBA1697	SRX498680	Near complete	96.23	0	0	Faecalibacterium sp. UBA1697 [genus]	417	100	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;uncultured bacterium	DQ800287.1.1399	3120072	58.51829383	42.26	99.9852504	1343	88	69	2803	0.874640713	193745	193753	35440	45218	73545	86751	11	2	17	0	36	36	0	o__Clostridiales (UID1212)	172	147	261	UID1237	Gut
DCJM00000000	UBA1700	SRX498680	Near complete	95.19	0	0	Acidaminococcus fermentans [species]	1535	99.813	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus;Acidaminococcus fermentans DSM 20731	CP001859.380488.382032	2068134	56.77486239	25.45	99.93221022	2926	110	62	1867	0.890021633	89575	95778	18774	33357	35282	54918	11	0	17	0	38	39	0	o__Selenomonadales (UID1024)	64	167	334	UID1028	Gut
DCJK00000000	UBA1702	SRX498680	Near complete	99.29	0	0	Firmicutes bacterium UBA1702 [phylum]	732	97.579	Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group;uncultured bacterium	AF371681.1.1418	2231297	43.57319643	23.96	99.89503654	997	73	57	2231	0.895991883	198199	232766	30552	39145	78798	81175	11	1	17	0	31	31	0.00437	o__Clostridiales (UID1120)	304	141	247	UID1150	Gut
DCJJ00000000	UBA1703	SRX498680	Near complete	96.78	1.27	33.33	Dialister sp. UBA1703 [genus]	1149	99.163	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Dialister;uncultured bacterium	FJ364330.1.1416	2069393	52.252511	20.08	99.75713566	8160	302	179	1750	0.796447557	45842	138984	6825	11560	11135	17211	11	2	17	0	33	34	0.001214	p__Firmicutes (UID1022)	100	158	295	UID1065	Gut
DCJF00000000	UBA1707	SRX498680	Partial	63.18	1.57	0	Clostridiales bacterium UBA1707 [order]	342	94.94	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Flavonifractor;uncultured bacterium	DQ824836.1.1404	2024887	63.99808053	10.99	95.30518272	9750	399	209	2129	0.880051084	45266	64517	5050	9688	9151	13184	11	8	11	0	12	12	0.001341	o__Clostridiales (UID1212)	172	149	257	UID1232	Gut
DCJD00000000	UBA1709	SRX498681	Medium	89.89	2.25	50	Bacillales bacterium UBA1709 [order]	999	88.543	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;gut metagenome	AMCI01006774.240.1751	836904	28.34130963	284.7	100.0092473	4229	68	27	804	0.905232858	92610	160464	12245	30996	27440	48105	11	1	20	0	42	42	0.03072	k__Bacteria (UID2329)	174	89	149	UID2372	Gut
DCHZ00000000	UBA1739	SRX498681	Near complete	90.78	0.95	0	Firmicutes bacterium UBA1739 [phylum]					1633413	41.87477983	45.86	99.99430233	1168	52	40	1451	0.880222577	148376	148376	31389	40835	50363	65392	11	0	12	0	21	21	0.018484	o__Clostridiales (UID1120)	304	141	247	UID1150	Gut
DCHA00000000	UBA1764	SRX498681	Medium	80	1.42	0	Firmicutes bacterium UBA1764 [phylum]					1481509	42.84616491	22.28	99.75420243	7125	170	77	1362	0.90471742	91264	91268	8672	19240	19254	29358	11	1	13	0	23	23	0.024752	o__Clostridiales (UID1120)	304	141	247	UID1148	Gut
DCGW00000000	UBA1768	SRX498681	Medium	87.61	0.71	0	Firmicutes bacterium UBA1768 [phylum]					1526116	42.73939963	20.94	99.47142887	5980	184	94	1401	0.873343835	91587	109008	8261	16235	15183	24870	11	3	11	0	20	23	0.019177	o__Clostridiales (UID1120)	304	141	247	UID1148	Gut
DCGS00000000	UBA1772	SRX498681	Medium	82.16	0.67	0	Ruminococcaceae bacterium UBA1772 [family]	549	93.898	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;[Eubacterium] coprostanoligenes group;uncultured bacterium	GQ451212.1.1478	1481356	38.99220836	20.3	99.63732339	16966	293	101	1443	0.853277673	46056	55611	4997	14666	8874	22467	11	1	12	0	25	25	0.016778	o__Clostridiales (UID1212)	172	149	263	UID1234	Gut
DCGJ00000000	UBA1781	SRX498681	Medium	80.42	0.69	0	Lachnoclostridium sp. UBA1781 [genus]	301	94.706	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium 10;uncultured bacterium	AB824427.1.1525	2215774	46.4194777	14.3	97.53408765	7423	334	180	1959	0.89525466	47581	52234	6611	12309	11320	17203	11	0	7	0	12	12	0.020365	o__Clostridiales (UID1212)	172	149	263	UID1248	Gut
DCFY00000000	UBA1792	SRX118501	Partial	58.05	1.32	66.67	Megamonas sp. UBA1792 [genus]					1287857	41.58465501	91.51	99.97595028	23809	240	171	1321	0.854326218	21957	35629	5266	7531	7432	10338	11	11	11	0	17	17	0.005263	p__Firmicutes (UID1022)	100	158	295	UID1033	Sediment
DCFU00000000	UBA1796	SRX118501	Near complete	97.78	1.27	0	Megamonas sp. UBA1796 [genus]					3508512	44.74785067	25.99	99.98721713	3823	67	53	3270	0.884077922	288753	360842	52308	66198	79891	112870	11	5	18	0	42	42	0.007528	p__Firmicutes (UID1022)	100	158	295	UID1033	Sediment
DCFR00000000	UBA1799	SRX118501	Near complete	99.16	1.27	0	Megamonas sp. UBA1799 [genus]					2479342	49.6095322	16.42	99.73401421	11917	135	92	2346	0.888509129	156670	157311	18277	26949	32217	42352	11	0	19	0	42	42	0.00914	p__Firmicutes (UID1022)	100	158	295	UID1033	Sediment
DCFC00000000	UBA1814	SRX252167	Near complete	98.42	1.27	0	Megamonas hypermegale [species]					2373008	43.21129773	125.57	99.9878559	1487	84	55	2248	0.882808233	190513	242605	28232	43145	56131	77730	11	0	16	0	47	47	0.001588	p__Firmicutes (UID1022)	100	158	295	UID1034	Gut
DCEU00000000	UBA1822	SRX252167	Partial	53.11	0	0	Veillonellaceae bacterium UBA1822 [family]					1038107	59.33393856	21.4	99.86565435	485	25	15	958	0.892321312	153816	176968	41504	69207	61796	100086	11	0	15	0	24	24	0.008091	p__Firmicutes (UID1022)	100	158	295	UID1062	Gut
DDHO00000000	UBA1874	SRX595695	Medium	85.94	0.85	0	Firmicutes bacterium UBA1874 [phylum]					1596006	42.21919724	16.8	99.74859157	17300	179	105	1601	0.840098972	57937	67123	8819	15200	16171	24250	11	8	17	1	28	29	0.020431	c__Clostridia (UID1085)	35	196	420	UID1105	Oil
DDHB00000000	UBA1887	SRX822413	Near complete	95.68	4.14	0	Sporomusaceae bacterium UBA1887 [family]					4195519	44.32349706	9.67	92.25152192	1960	137	116	4269	0.886094188	132901	132919	30609	36168	53737	58054	11	4	17	0	37	38	0.008714	p__Firmicutes (UID1022)	100	158	294	UID1061	Built Environment
DDCL00000000	UBA2007	SRX1044556	Near complete	98.71	0.52	0	Pseudomonadaceae bacterium UBA2007 [family]	1964	98.664	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Pseudomonas bauzanensis	GQ161991.1.1529	4072439	61.6558894	693.44	100.0009594	7554	71	37	3782	0.902547098	325982	428589	57251	110065	111356	172031	11	11	19	0	49	49	0.004697	c__Gammaproteobacteria (UID4444)	263	232	507	UID4488	Sediment
DDAM00000000	UBA2058	SRX822397	Medium	86.31	4.55	0	Firmicutes bacterium UBA2058 [phylum]					3289114	29.7059498	19.63	99.95903043	1308	82	72	3058	0.874575038	332190	332194	40095	45682	65672	71500	11	8	16	0	29	29	0.009882	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DCZH00000000	UBA2089	SRX516606	Near complete	91.2	2.35	40	Ruminococcaceae bacterium UBA2089 [family]	433	98.81	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] gauvreauii group;uncultured bacterium	DQ809630.1.1397	1606749	41.59554442	17.05	99.32206833	41252	540	191	1548	0.763798204	18759	42579	2899	8412	4729	10588	11	13	12	0	20	21	0	o__Clostridiales (UID1212)	172	149	263	UID1234	Bioreactor
DCYG00000000	UBA2116	SRX822889	Near complete	98.02	3.15	0	Firmicutes bacterium UBA2116 [phylum]					3593002	35.07371374	18.85	99.95010867	5204	87	49	3487	0.88919071	202659	323163	41239	73326	67261	124276	11	2	19	0	40	40	0.006349	o__Clostridiales (UID1120)	304	143	250	UID1126	Built Environment
DCUX00000000	UBA2203	SRX327722	Near complete	90.03	0	0	Firmicutes bacterium UBA2203 [phylum]					2214966	43.08751963	33.72	99.95619797	457	62	56	2202	0.866320296	159061	159061	35717	39552	49255	70643	11	7	16	0	36	36	0.002667	p__Firmicutes (UID1022)	100	158	295	UID1090	Bioreactor
DCUR00000000	UBA2209	SRX327722	Medium	77.48	0	0	Firmicutes bacterium UBA2209 [phylum]					1587217	42.06173031	26.66	99.80478837	3295	154	101	1627	0.906960422	96562	97052	10285	15715	21276	24566	11	17	8	1	15	17	0.017111	o__Clostridiales (UID1120)	304	143	250	UID1126	Bioreactor
